offscouring /ɒfˈskaʊərɪŋ/|noun|outlaw; outcast; a disposed of object
omnipresent /ˌɒmnɪˈpreznt/|adjective|present everywhere
onerous /ˈəʊnərəs/|adjective|needing great effort; causing trouble or worry
orison /ˈɒrɪs(ə)n/|noun|a prayer
