allay (something) /əˈleɪ/|verb|to make something, especially a feeling, less strong
amain /əˈmeɪn/|adverb|with full force; at full speed
amenable /əˈmiːnəbl/|adjective|(of people) easy to control; willing to be influenced by somebody/something
amidst /əˈmɪdst/|preposition|in the middle of or during something, especially something that causes excitement or fear
anguish /ˈæŋɡwɪʃ/|noun|severe physical or mental pain, difficulty or unhappiness
antics /ˈæntɪks/|noun|behaviour that is unreasonable, dangerous or silly and funny
apace /əˈpeɪs/|adverb|at a fast speed; quickly
arbitrate /ˈɑːbɪtreɪt/|verb|to officially settle an argument or a disagreement between two people or groups
ascertain (something) /ˌæsəˈteɪn/|verb|to find out the true or correct information about something
