wanton /ˈwɒntən/|adjective|(usually of a woman) behaving in an immoral way; having many sexual partners
weep /wiːp/|verb|to cry, usually because you are sad
wreath /riːθ/|noun|a circle of flowers or leaves worn on the head
wretched /ˈretʃɪd/|adjective|extremely bad, unpleasant, making you feel sympathy or making you sad
wuthering /ˈwʌðərɪŋ/|adjective|a wind that is blowing very strongly or a place where the wind blows strongly
